Venue,Latitude,Longitude,Category,Id
Ибис,47.218433,38.858352,Salon / Barbershop,51c83a95498e6e1b2edfe08c
Мособлбанк,47.21913528442383,38.86196517944336,Bank,4fbf40a1e4b0425aaadf473b
Индустрия Красоты,47.21880353211734,38.85939020887961,Cosmetics Shop,51126e54e4b05bd665dc451a
"Магазин ""Цыпленок""",47.21884670179217,38.8580846786499,Gourmet Shop,4f5b64f3e4b082b23d035c16
Парикмахерская,47.218938,38.862521,Salon / Barbershop,52a1b65111d2187bfef43807
Зодиак,47.22038650512695,38.85653305053711,Food & Drink Shop,4f93e477e4b0b65a8b76f8d8
Улица Плеханова,47.21786479640199,38.86242446573007,Road,4ffaf914e4b009b190be9715
"Магазин ""Пропитание""",47.21880297962681,38.86260151863098,Food & Drink Shop,4f2be1f7e4b03d064b21613a
Pyramid Spa,47.217289,38.854929,Pool,50c9f6c7e4b0c995a354b68a
"Жилой многоквартирный дом (ул. Чехова, 365/1)",47.216061039085915,38.85317515431137,Residential Building (Apartment / Condo),50d356ede4b004f08aa603e2
Костин гараж,47.215891839174844,38.85726851005063,BBQ Joint,5468e333498e2881f83c1f53
"Жилой многоквартирный дом (ул. Чехова, 361/1)",47.216644287109375,38.8553352355957,Residential Building (Apartment / Condo),531aaa43498ec2ca64806891
"Жилой многоквартирный дом (ул. Чучева, 44/1)",47.215102860338035,38.858577505062236,Residential Building (Apartment / Condo),5013ec99e4b020985bbd2242
кроватка ван лав номе,47.217209,38.85548,Residential Building (Apartment / Condo),5325dc2211d21a09ec5235bc
Птичьи закрома,47.21813256857642,38.8584816455841,Butcher,509e41ebe4b03075370ef17b
Азарт,47.21790705377904,38.85563989374978,Gym / Fitness Center,51656e71e4b090d0545cec02
Пирамида,47.21747486527803,38.85441002174864,Pool Hall,4ff4af56e4b01992a9976ab3
"Поляковское шоссе,19-1,оф316",47.21078869554521,38.8687310710759,Office,53031348498ec776ce96f2e9
Автомедон,47.21302032470703,38.86589431762695,Auto Workshop,539af9e4498e51117d738929
Баня з-да им. Димитрова,47.21020434866766,38.865181104142145,Bar,4f8708b6e4b0e67b82eecabd
Женская консультация №4,47.216236445979824,38.865432149403325,Doctor's Office,524934a4498e23e834628f17
рыбята,47.21906280517578,38.862979888916016,Pet Store,535a4006498eaac49a794e73
Подобие детской площадки/Сызранова 10,47.216629927190404,38.865812512747205,Playground,4ffd3b65e4b0842f7df14752
home credit bank,47.219493582850575,38.86248324183697,Bank,53588edf498e7295c2fe9a9a
Пик-Ми-Ап,47.216302,38.865608,Food & Drink Shop,5268297011d237afa0531bd6
Час Пик,47.219407799714126,38.862794637680054,Pizza Place,4f45f25ae4b00441a2fe702d
Роснамис,47.210766,38.87118,Factory,598983f4002f4c7bc0fed7dc
НАТЭК-Нефтехиммаш,47.21118706950491,38.87087326814245,Factory,524176f511d20a8b30fdcd11
Intspirit,47.213401794433594,38.86989974975586,Office,5054ba09e4b0b914253f5045
Детская городская поликлиника №1,47.21644860254487,38.86621462611478,Doctor's Office,4f3a0cc2e4b082147d8d7a5e
Учебный Центр ТАНТК,47.19637255941781,38.879675956477215,Trade School,563da0c3cd10d2886378c91a
Taganrog Yuzhny Airport (TGK) (Аэропорт Таганрог-Южный),47.197916948222925,38.8803998400739,Airport,4caf03fcaef16dcb4abda454
ТАНТК им. Г.М.Бериева,47.197945761801584,38.880448402263376,Factory,4f842e7be4b01b06cf664cbb
Автомойка На Поляковском 15,47.212307709257466,38.87216088590228,Car Wash,51698ccce4b095e8761a4a1c
"Церковь ""Слово Жизни""",47.21267452070789,38.87247091979605,Church,527e49c911d2bbaf3a0896e6
КСНО АО Концерн Вега,47.196117,38.881027,Industrial Estate,57fe1f99498e43202199281d
Площадь Авиаторов,47.19786347765497,38.88058064109411,Plaza,529fbcb8498ee226d5d88226
Прессмаш,47.214653741429466,38.871018892602926,Factory,4f2948d7e4b062eef148353d
Технологии Света,47.214604,38.871444,Campaign Office,53e32702498ec5d897f47dfc
"ЗАО ""НПК ""БИС""",47.214647960280566,38.87102653323603,Factory,526bc9c7498e766211263098
"ООО ""Веста"" Таганрог",47.213176,38.872484,Building,50bdad3ce4b024d48f59ece1
Частный пляж,47.19757697792011,38.88421373745265,Beach,518264e9498ede1e583d9342
Дачка Ларена,47.21794128417969,38.86579513549805,Assisted Living,536cdf5d498ea1d011ad5b76
Легенды Востока,47.214355980213206,38.87164551769175,Middle Eastern Restaurant,509f6af3498ec5d3bffb808d
Famadar Kartona Ltd.,47.215338560535464,38.87118000322538,Factory,5062baade4b0c2be58ffddfd
ВОС. Таганрогское отделение,47.21383285522461,38.8737907409668,Office,5188d081498ecde2bbf7a090
Quantex,47.21496842153897,38.871340742091505,Office,5093616ee4b0625eb6969ee9
Автостоянка,47.21560473433221,38.87093982301498,Parking,51b55251498e0d22af43c7b2
Таганрогская Кондитерская Фабрика,47.21444245018949,38.87225305969497,Building,54f56e64498e534b3b352d47
Железная лестница,47.19827277079293,38.885823275356216,Other Great Outdoors,4fa22916e4b07d3f487829da
"Фотостудия ""Вместе""",47.214692,38.871381,Public Art,52511be311d2f5e5563809b3
LetMeCode,47.215125,38.871212,Office,55efeb0d498e02b2b288c513
ИУ №1825,47.21873739631114,38.86492967605591,Voting Booth,4f5308b1e4b0bf6b5dda1322
Стройцентр,47.21631622314453,38.8701171875,Hardware Store,5225b58f11d22e7334afeb58
Спортивный клуб «Лам-сон»,47.212006686706424,38.87711529713258,Athletics & Sports,50aa82eee4b04d8995bd6207
Инструментальная улица,47.20186858171425,38.89234380361265,Road,51830fc6498e50232ac7be31
Торпедо,47.204607387207,38.8889859889113,Soccer Stadium,4e574ea01838c737f05b6e32
СДЮСШОР-13,47.206085,38.887853,School,55126aa5498e7de46c7ed5eb
РГАТП 1 Таганрог,47.214298622529256,38.87654154592127,Parking,537db96b498e635a12b438dd
Памятник,47.20333387046132,38.88983447485382,Outdoor Sculpture,539400ee498e1d03a741b8ff
Автомойка у пацанов,47.216347,38.872475,Car Wash,566bd8ec498edbe08667d973
Универсам,47.202767757253646,38.890427407610666,Food & Drink Shop,4ffc5b68e4b0a24044569c06
gradus,47.21247560039598,38.878981018631464,Wine Shop,56322497498e072488832f10
Детская площадка,47.217479,38.86924,Playground,50829a15e4b0ad74a831de79
Тренировочная Площадка Для Собак,47.209242,38.88433,Plaza,528a313b11d2a52ae71b78dc
Скверик,47.2032428868172,38.889756202697754,Park,51895a09498e68949deb25ff
"Салон Красоты ""Нега""",47.20201451497903,38.889083082830886,Salon / Barbershop,51079c91e4b0ef2ec050e263
Фонд Социального Страхования РФ,47.20296569366588,38.890130174480085,Government Building,5017bb5de4b09715197bfb77
Управление образования г. Таганрога,47.20301887445109,38.89042772288821,City Hall,549bfddc498eafa4222d56db
МАОУ лицей 28,47.208480240917,38.88630425293193,College Academic Building,505044ffe4b056062110c47f
Почта России 347923,47.202716376578394,38.891440230315254,Post Office,511605f2e4b0ec5103eedab8
Отделение #2 ФМС В Г. Таганрог,47.203302236577294,38.891362403846266,Police Station,50efb45ce4b04840eaacf626
Стоматологическая поликлиника №2,47.20234444619389,38.8916054395995,Dentist's Office,51891abd498e25c7c1220e07
Ассоль,47.199447235811185,38.88744112422026,Boarding House,4f8fb305e4b027bf9cb0c679
